Country Code,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,9000R,9012R,0010R,1012R
HIC,2.1.10_SHARE.MARINE,0.000992918,0.001007487,0.001027338,0.00096383,0.00098482,0.000971472,0.000923975,0.000973757,0.001016725,0.000972677,0.000929819,0.000902748,0.000901581,0.000903432,0.000867911,0.000883569,0.00084439,0.000853848,0.000849114,0.00091639,0.000926512,0.00089334,0.000895156,,,,
HIC,8.1_FINAL.ENER.INTENS.RATE,,,,,,,,,,,,,,,,,,,,,,,,-1.495187656,-1.651879271,-1.628778837,-2.546112262
HIC,7.1_PRIMARY.ENER.INTENS.RATE,,,,,,,,,,,,,,,,,,,,,,,,-1.301114631,-1.479226412,-1.436549653,-2.576166442
HIC,4.1.2_REN.ELECTRICITY.OUTPUT,1452695.134,1457624.212,1458664,1531471,1501966,1578754,1588363,1602669,1576821.576,1583606.059,1630937,1559744,1613137,1603722.551,1669238.163,1712144.913,1758651.11,1787612.747,1867744.425,1935644.1,2019087.918,2148095.283,2245890,,,,
HIC,4.1_SHARE.RE.IN.ELECTRICITY,16.64811783,16.42992453,16.41652337,16.96850269,16.39377293,16.80858757,16.50834404,16.47269802,15.83960474,15.56990964,15.41652635,14.86843994,14.96496626,14.69345094,14.92511544,14.93047675,15.18662252,15.14136964,15.73948542,16.89038192,16.85690271,18.03369023,18.8159101,,,,
HIC,3.1_RE.CONSUMPTION,8308916.973,8584794.371,8715232.351,8744681.277,8533129.721,9008556.035,9176662.819,9203769.657,9240682.663,10112361.99,10301605.94,9837038.854,9891004.644,10345792.65,10766386.02,11201889.99,11784483.02,12143377.28,12630116.89,12933434.49,13847941.99,14256794.6,14504756.61,,,,
HIC,2.1_SHARE.TOTAL.RE.IN.TFEC,5.92162183,6.089739052,6.25797058,6.215368444,6.10574485,6.392846903,6.39127799,6.424050072,6.457283054,6.894454721,6.829210524,6.526644522,6.568199202,6.75342058,6.95219078,7.23771828,7.591039772,7.765668191,8.129452753,8.696712922,8.912661386,9.292742872,9.482229657,,,,
HIC,3.1.6_SOLAR.CONSUM,75548.412,76009.69012,75468.41108,76471.43742,78301.31022,80569.13836,81276.80585,84090.00345,81822.42294,143178.0106,146324.725,144526.0832,147061.8156,145235.9653,148239.9487,153290.1443,163158.5618,181008.7957,215718.6934,248190.606,298928.3514,399809.5854,501556.3946,,,,
HIC,2.1.6_SHARE.SOLAR,0.05384205,0.053918493,0.054190075,0.054352828,0.056027253,0.057175219,0.056606925,0.058693167,0.057176571,0.097616592,0.09700258,0.095889666,0.097657552,0.094805646,0.095723152,0.099043187,0.105099488,0.115754803,0.13884867,0.166888575,0.192393005,0.260600491,0.327883676,,,,
HIC,3.1.2_MODERNBIO.CONSUM,3693630.41,3818761.229,4056489.098,3843410.285,3740717.872,4001323.546,4082675.685,4060389.557,4184099.173,4858697.453,4932983.733,4596782.735,4461611.135,4740161.777,4925035.614,5216963.858,5343907.763,5356415.247,5324310.552,5236408.04,5692257.905,5650688.038,5587651.852,,,,
